Mes;Semana;Dia;Hora;Hora (24h);Cosumo (W);Velocidad viento;Generación Eólica;Irradiencia FV (W/m2);Irradiencia (90º) FV (W/m2);Generación (90º) FV (W);Generación (comvencional) FV (W);Generación Total (W);Excedente (W);Batería (W);Nuevo Consumo;Último Consumo;Nuevo Excedente;;;;;;;;;
;;;230;13:00:00;2788;2,450873;0;942,37;355,48;9649,8688;5654,22;5654,22;2866,22;36219;0;0;0;;;;;;;;;
;;;231;14:00:00;362;3,1239128;0;919,13;575,24;9411,8912;5514,78;5514,78;5152,78;40000;0;0;5152,78;;;;;;;;;
;;;232;15:00:00;492;3,6768262;0;780,51;726,62;7992,4224;4683,06;4683,06;4191,06;40000;0;0;4191,06;;;;;;;;;
;;;233;16:00:00;52;3,4058917;0;689,41;926,1;7059,5584;4136,46;4136,46;4084,46;40000;0;0;4084,46;;;;;;;;;
;;;234;17:00:00;52;3,400034;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;235;18:00:00;1342,2;3,6625972;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;236;19:00:00;3055,45;3,9738367;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;237;20:00:00;3419,45;4,1210766;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;238;21:00:00;3547,15;4,140015;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;239;22:00:00;625,45;3,893132;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;240;23:00:00;815,45;3,195067;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Jueves;241;0:00:00;654,6;2,2830398;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;242;1:00:00;52;1,9679011;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;243;2:00:00;52;1,804868;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;244;3:00:00;52;1,6800002;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;245;4:00:00;52;1,3640586;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;246;5:00:00;52;1,3667535;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;247;6:00:00;1894,41;1,6106923;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;248;7:00:00;2590,45;1,5675373;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;249;8:00:00;1620,45;1,3560181;0;80,38;245,21;823,0912;482,28;482,28;0;20605;1138,17;0;0;;;;;;;;;
;;;250;9:00:00;113,56;1,4827274;0;335,54;495,51;3435,9296;2013,24;2013,24;1899,68;22505;0;0;0;;;;;;;;;
;;;251;10:00:00;52;1,2824407;0;581,36;475,07;5953,1264;3488,16;3488,16;3436,16;25941;0;0;0;;;;;;;;;
;;;252;11:00:00;52;1,3331696;0;769,3;323,53;7877,632;4615,8;4615,8;4563,8;30505;0;0;0;;;;;;;;;
;;;253;12:00:00;52;1,1980664;0;904,06;113,57;9257,5744;5424,36;5424,36;5372,36;35877;0;0;1249,58;;;;;;;;;
;;;254;13:00:00;2788;0,9303042;0;948,24;356,58;9709,9776;5689,44;5689,44;2901,44;38779;0;0;1680,1;;;;;;;;;
;;;255;14:00:00;362;0,85542786;0;925,95;577,6;9481,728;5555,7;5555,7;5193,7;40000;0;0;5193,7;;;;;;;;;
;;;256;15:00:00;492;1,8193914;0;827,12;761,33;8469,7088;4962,72;4962,72;4470,72;40000;0;0;4470,72;;;;;;;;;
;;;257;16:00:00;52;2,8333192;0;631,55;847,19;6467,072;3789,3;3789,3;3737,3;40000;0;0;3737,3;;;;;;;;;
;;;258;17:00:00;52;3,0125773;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;259;18:00:00;1342,2;3,0176702;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;260;19:00:00;3055,45;2,634661;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;261;20:00:00;3419,45;2,492396;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;262;21:00:00;3547,15;1,4166019;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;263;22:00:00;625,45;0,6366124;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;264;23:00:00;815,45;0,7566167;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Viernes;265;0:00:00;654,6;1,068349;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;266;1:00:00;52;1,4906775;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;267;2:00:00;52;1,7289122;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;268;3:00:00;52;1,7501261;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;269;4:00:00;52;1,833679;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;270;5:00:00;52;1,9251869;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;271;6:00:00;1894,41;1,9373566;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;272;7:00:00;2590,45;1,9441859;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;273;8:00:00;1620,45;2,0608265;0;51,59;129,1;528,2816;309,54;309,54;0;20432;1310,91;0;0;;;;;;;;;
;;;274;9:00:00;113,56;1,8426205;0;314,94;465,43;3224,9856;1889,64;1889,64;1776,08;22209;0;0;0;;;;;;;;;
;;;275;10:00:00;52;1,614522;0;562,05;466,85;5755,392;3372,3;3372,3;3320,3;25529;0;0;0;;;;;;;;;
;;;276;11:00:00;52;1,423047;0;764,26;323,53;7826,0224;4585,56;4585,56;4533,56;30062;0;0;0;;;;;;;;;
;;;277;12:00:00;52;1,7025294;0;918,93;104,95;9409,8432;5513,58;5513,58;5461,58;35524;0;0;985,58;;;;;;;;;
;;;278;13:00:00;2788;2,0278442;0;965,03;352,87;9881,9072;5790,18;5790,18;3002,18;38526;0;0;1528,36;;;;;;;;;
;;;279;14:00:00;362;1,9620159;0;922,2;574,54;9443,328;5533,2;5533,2;5171,2;40000;0;0;5171,2;;;;;;;;;
;;;280;15:00:00;492;1,8239845;0;792,44;733,43;8114,5856;4754,64;4754,64;4262,64;40000;0;0;4262,64;;;;;;;;;
;;;281;16:00:00;52;2,1060863;0;571,44;765;5851,5456;3428,64;3428,64;3376,64;40000;0;0;3376,64;;;;;;;;;
;;;282;17:00:00;52;2,2471085;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;283;18:00:00;1342,2;2,2312908;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;284;19:00:00;3055,45;1,9516882;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;285;20:00:00;3419,45;2,127826;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;286;21:00:00;3547,15;1,891478;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;287;22:00:00;625,45;1,5702789;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;288;23:00:00;815,45;2,1086252;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Sábado;289;0:00:00;757,2;2,0933385;0;0;0;0;0;0;0;26386;757,2;0;0;;;;;;;;;
;;;290;1:00:00;362;2,3251007;0;0;0;0;0;0;0;26024;362;0;0;;;;;;;;;
;;;291;2:00:00;52;2,536846;0;0;0;0;0;0;0;25972;52;0;0;;;;;;;;;
;;;292;3:00:00;52;2,6708193;0;0;0;0;0;0;0;25920;52;0;0;;;;;;;;;
;;;293;4:00:00;52;2,732596;0;0;0;0;0;0;0;25868;52;0;0;;;;;;;;;
;;;294;5:00:00;52;2,7123005;0;0;0;0;0;0;0;25816;52;0;0;;;;;;;;;
;;;295;6:00:00;399,6;2,7376628;0;0;0;0;0;0;0;25416;399,6;0;0;;;;;;;;;
;;;296;7:00:00;2365,45;2,8283172;0;0;0;0;0;0;0;23051;2365,45;0;0;;;;;;;;;
;;;297;8:00:00;2160,45;2,8940468;0;72,95;218,09;747,008;437,7;437,7;0;21328;1722,75;0;0;;;;;;;;;
;;;298;9:00:00;1311,81;2,5306475;0;270,1;395,44;2765,824;1620,6;1620,6;308,79;21637;0;0;0;;;;;;;;;
;;;299;10:00:00;1676,25;2,367727;0;522,3;444,09;5348,352;3133,8;3133,8;1457,55;23094;0;0;0;;;;;;;;;
;;;300;11:00:00;232;1,7139637;0;721,29;322,32;7386,0096;4327,74;4327,74;4095,74;27190;0;0;0;;;;;;;;;
;;;301;12:00:00;52;1,3635064;0;849,03;123,9;8694,0672;5094,18;5094,18;5042,18;32232;0;0;0;;;;;;;;;
;;;302;13:00:00;2755;1,2411019;0;912,87;344,97;9347,7888;5477,22;5477,22;2722,22;34954;0;0;0;;;;;;;;;
;;;303;14:00:00;2642;1,340368;0;897,13;558,78;9186,6112;5382,78;5382,78;2740,78;37695;0;0;435,89;;;;;;;;;
;;;304;15:00:00;492;1,6906964;0;761,47;704,46;7797,4528;4568,82;4568,82;4076,82;40000;0;0;4076,82;;;;;;;;;
;;;305;16:00:00;52;1,6446166;0;606,08;808,59;6206,2592;3636,48;3636,48;3584,48;40000;0;0;3584,48;;;;;;;;;
;;;306;17:00:00;52;1,3605648;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;307;18:00:00;632,2;0,8217604;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;308;19:00:00;1343,7;0,88086534;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;309;20:00:00;3239,45;1,1559905;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;310;21:00:00;5495,45;1,4802947;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;311;22:00:00;625,45;1,9804547;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;312;23:00:00;815,45;2,4824748;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Domingo;313;0:00:00;757,2;3,290546;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;314;1:00:00;362;3,574715;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;315;2:00:00;52;3,7283587;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;316;3:00:00;52;4,0091443;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;317;4:00:00;52;4,3697324;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;318;5:00:00;52;4,507634;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;319;6:00:00;399,6;4,5789194;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;320;7:00:00;2365,45;4,4102373;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;321;8:00:00;2160,45;4,2568803;0;78,86;242,38;807,5264;473,16;473,16;0;22017;1687,29;0;0;;;;;;;;;
;;;322;9:00:00;1311,81;4,5509315;0;331,1;494,25;3390,464;1986,6;1986,6;674,79;22692;0;0;0;;;;;;;;;
;;;323;10:00:00;1676,25;4,882289;0;574,79;475,21;5885,8496;3448,74;3448,74;1772,49;24464;0;0;0;;;;;;;;;
;;;324;11:00:00;232;5,5579195;0;774,96;324,67;7935,5904;4649,76;4649,76;4417,76;28882;0;0;0;;;;;;;;;
;;;325;12:00:00;52;6,015308;0;891,61;111,23;9130,0864;5349,66;5349,66;5297,66;34179;0;0;0;;;;;;;;;
;;;326;13:00:00;2755;5,567156;0;957,27;348,67;9802,4448;5743,62;5743,62;2988,62;37168;0;0;156,7;;;;;;;;;
;;;327;14:00:00;2642;4,9014006;0;921,49;570,02;9436,0576;5528,94;5528,94;2886,94;40000;0;0;2886,94;;;;;;;;;
;;;328;15:00:00;492;4,473855;0;817;747,9;8366,08;4902;4902;4410;40000;0;0;4410;;;;;;;;;
;;;329;16:00:00;52;4,589871;0;686,8;913,29;7032,832;4120,8;4120,8;4068,8;40000;0;0;4068,8;;;;;;;;;
;;;330;17:00:00;52;5,009927;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;331;18:00:00;632,2;5,4495096;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;332;19:00:00;1343,7;5,7425795;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;333;20:00:00;3239,45;5,9188313;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;334;21:00:00;5495,45;5,8352704;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;335;22:00:00;625,45;4,796881;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;336;23:00:00;815,45;5,3953996;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;3;Lunes;337;0:00:00;654,6;5,4201984;0;0;0;0;0;0;0;27142;654,6;0;0;;;;;;;;;
;;;338;1:00:00;52;5,585321;0;0;0;0;0;0;0;27090;52;0;0;;;;;;;;;
;;;339;2:00:00;52;5,6104474;0;0;0;0;0;0;0;27038;52;0;0;;;;;;;;;
;;;340;3:00:00;52;5,402046;0;0;0;0;0;0;0;26986;52;0;0;;;;;;;;;
;;;341;4:00:00;52;5,1822257;0;0;0;0;0;0;0;26934;52;0;0;;;;;;;;;
;;;342;5:00:00;52;4,9429865;0;0;0;0;0;0;0;26882;52;0;0;;;;;;;;;
;;;343;6:00:00;1894,41;4,738416;0;0;0;0;0;0;0;24987;1894,41;0;0;;;;;;;;;
;;;344;7:00:00;2590,45;4,666525;0;0;0;0;0;0;0;22397;2590,45;0;0;;;;;;;;;
;;;345;8:00:00;1620,45;5,3599076;0;53,3;135,22;545,792;319,8;319,8;0;21096;1300,65;0;0;;;;;;;;;
;;;346;9:00:00;113,56;5,5612884;0;295,51;439,22;3026,0224;1773,06;1773,06;1659,5;22756;0;0;0;;;;;;;;;
;;;347;10:00:00;52;5,3247833;0;448,54;406,8;4593,0496;2691,24;2691,24;2639,24;25395;0;0;0;;;;;;;;;
;;;348;11:00:00;52;5,317704;0;541,46;329,68;5544,5504;3248,76;3248,76;3196,76;28592;0;0;0;;;;;;;;;
;;;349;12:00:00;52;5,1258807;0;870,55;119,7;8914,432;5223,3;5223,3;5171,3;33763;0;0;0;;;;;;;;;
;;;350;13:00:00;2788;5,701872;0;913,5;350,24;9354,24;5481;5481;2693;36456;0;0;0;;;;;;;;;
;;;351;14:00:00;362;5,957434;0;843,46;545,73;8637,0304;5060,76;5060,76;4698,76;40000;0;0;4698,76;;;;;;;;;
;;;352;15:00:00;492;5,7730565;0;547,05;530,12;5601,792;3282,3;3282,3;2790,3;40000;0;0;2790,3;;;;;;;;;
;;;353;16:00:00;52;5,1969676;0;635,85;844,15;6511,104;3815,1;3815,1;3763,1;40000;0;0;3763,1;;;;;;;;;
;;;354;17:00:00;52;5,5872984;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;355;18:00:00;1342,2;6,0069246;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;356;19:00:00;3055,45;6,0359774;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;357;20:00:00;3419,45;6,0993156;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;358;21:00:00;3547,15;5,968387;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;359;22:00:00;625,45;4,2887254;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;360;23:00:00;815,45;4,4858613;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Martes;361;0:00:00;654,6;4,7673187;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;362;1:00:00;52;5,2895412;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;363;2:00:00;52;5,176747;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;364;3:00:00;52;5,123212;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;365;4:00:00;52;5,181039;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;366;5:00:00;52;5,5437503;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;367;6:00:00;1894,41;5,9463844;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;368;7:00:00;2590,45;5,9390607;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;369;8:00:00;1620,45;5,985492;0;26,73;40,53;273,7152;160,38;160,38;0;20283;1460,07;0;0;;;;;;;;;
;;;370;9:00:00;113,56;5,9026756;0;138,33;179,8;1416,4992;829,98;829,98;716,42;21000;0;0;0;;;;;;;;;
;;;371;10:00:00;52;5,5851645;0;284,88;288,21;2917,1712;1709,28;1709,28;1657,28;22657;0;0;0;;;;;;;;;
;;;372;11:00:00;52;5,5814505;0;297,77;267,53;3049,1648;1786,62;1786,62;1734,62;24392;0;0;0;;;;;;;;;
;;;373;12:00:00;52;5,638817;0;268,61;244,59;2750,5664;1611,66;1611,66;1559,66;25951;0;0;0;;;;;;;;;
;;;374;13:00:00;2788;5,2182155;0;429,46;317,17;4397,6704;2576,76;2576,76;0;25740;211,24;0;0;;;;;;;;;
;;;375;14:00:00;362;4,4457035;0;737,22;507,16;7549,1328;4423,32;4423,32;4061,32;29801;0;0;0;;;;;;;;;
;;;376;15:00:00;492;3,384798;0;723,06;673,71;7404,1344;4338,36;4338,36;3846,36;33648;0;0;0;;;;;;;;;
;;;377;16:00:00;52;3,277344;0;519,87;689,29;5323,4688;3119,22;3119,22;3067,22;36715;0;0;0;;;;;;;;;
;;;378;17:00:00;52;3,0148423;0;0;0;0;0;0;0;36663;52;0;0;;;;;;;;;
;;;379;18:00:00;1342,2;3,2336738;0;0;0;0;0;0;0;35321;1342,2;0;0;;;;;;;;;
;;;380;19:00:00;3055,45;4,063487;0;0;0;0;0;0;0;32265;3055,45;0;0;;;;;;;;;
;;;381;20:00:00;3419,45;4,869161;0;0;0;0;0;0;0;28846;3419,45;0;0;;;;;;;;;
;;;382;21:00:00;3547,15;6,909351;0;0;0;0;0;0;0;25299;3547,15;0;0;;;;;;;;;
;;;383;22:00:00;625,45;6,8951716;0;0;0;0;0;0;0;24673;625,45;0;0;;;;;;;;;
;;;384;23:00:00;815,45;4,88957;0;0;0;0;0;0;0;23858;815,45;0;0;;;;;;;;;
;;Miércoles;385;0:00:00;654,6;3,0837162;0;0;0;0;0;0;0;23203;654,6;0;0;;;;;;;;;
;;;386;1:00:00;52;2,715853;0;0;0;0;0;0;0;23151;52;0;0;;;;;;;;;
;;;387;2:00:00;52;2,9558418;0;0;0;0;0;0;0;23099;52;0;0;;;;;;;;;
;;;388;3:00:00;52;3,0059686;0;0;0;0;0;0;0;23047;52;0;0;;;;;;;;;
;;;389;4:00:00;52;2,2444515;0;0;0;0;0;0;0;22995;52;0;0;;;;;;;;;
;;;390;5:00:00;52;2,3830323;0;0;0;0;0;0;0;22943;52;0;0;;;;;;;;;
;;;391;6:00:00;1894,41;2,302703;0;0;0;0;0;0;0;21049;1894,41;0;0;;;;;;;;;
;;;392;7:00:00;2590,45;2,1160846;0;0;0;0;0;0;0;18458;2590,45;0;0;;;;;;;;;
;;;393;8:00:00;1620,45;2,2553842;0;37,11;72,14;380,0064;222,66;222,66;0;17061;1397,79;0;0;;;;;;;;;
;;;394;9:00:00;113,56;2,6816804;0;153,91;204,33;1576,0384;923,46;923,46;809,9;17870;0;0;0;;;;;;;;;
;;;395;10:00:00;52;3,7741778;0;213,96;228,73;2190,9504;1283,76;1283,76;1231,76;19102;0;0;0;;;;;;;;;
;;;396;11:00:00;52;6,786866;0;765,59;330,5;7839,6416;4593,54;4593,54;4541,54;23644;0;0;0;;;;;;;;;
;;;397;12:00:00;52;8,621191;0;901,04;113,07;9226,6496;5406,24;5406,24;5354,24;28998;0;0;0;;;;;;;;;
;;;398;13:00:00;2788;8,753901;0;858,05;359,54;8786,432;5148,3;5148,3;2360,3;31358;0;0;0;;;;;;;;;
;;;399;14:00:00;362;9,02833;0;903,69;563,31;9253,7856;5422,14;5422,14;5060,14;36418;0;0;1478,58;;;;;;;;;
;;;400;15:00:00;492;9,0043125;0;799,49;731,66;8186,7776;4796,94;4796,94;4304,94;40000;0;0;4304,94;;;;;;;;;
;;;401;16:00:00;52;8,850185;0;656,01;866,68;6717,5424;3936,06;3936,06;3884,06;40000;0;0;3884,06;;;;;;;;;
;;;402;17:00:00;52;9,943627;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;403;18:00:00;1342,2;9,613848;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;404;19:00:00;3055,45;9,517371;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;405;20:00:00;3419,45;9,477354;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;406;21:00:00;3547,15;9,1151705;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;407;22:00:00;625,45;8,595901;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;408;23:00:00;815,45;8,3578825;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Jueves;409;0:00:00;654,6;8,361753;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;410;1:00:00;52;8,138867;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;411;2:00:00;52;7,819961;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;412;3:00:00;52;7,8010764;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;413;4:00:00;52;7,6515155;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;414;5:00:00;52;7,370579;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;415;6:00:00;1894,41;7,128308;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;416;7:00:00;2590,45;6,802774;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;417;8:00:00;1620,45;6,6030836;0;72,21;211,41;739,4304;433,26;433,26;0;20556;1187,19;0;0;;;;;;;;;
;;;418;9:00:00;113,56;5,964647;0;255,1;374,89;2612,224;1530,6;1530,6;1417,04;21973;0;0;0;;;;;;;;;
;;;419;10:00:00;52;5,8639855;0;577,7;484,39;5915,648;3466,2;3466,2;3414,2;25387;0;0;0;;;;;;;;;
;;;420;11:00:00;52;7,3580847;0;711,62;341,54;7286,9888;4269,72;4269,72;4217,72;29605;0;0;0;;;;;;;;;
;;;421;12:00:00;52;7,2731686;0;844,73;147;8650,0352;5068,38;5068,38;5016,38;34622;0;0;0;;;;;;;;;
;;;422;13:00:00;2788;7,2202487;0;818,38;362,7;8380,2112;4910,28;4910,28;2122,28;36744;0;0;0;;;;;;;;;
;;;423;14:00:00;362;7,2663527;0;841,65;546,75;8618,496;5049,9;5049,9;4687,9;40000;0;0;4687,9;;;;;;;;;
;;;424;15:00:00;492;6,7500415;0;746,8;691,8;7647,232;4480,8;4480,8;3988,8;40000;0;0;3988,8;;;;;;;;;
;;;425;16:00:00;52;5,5441127;0;498,1;657,58;5100,544;2988,6;2988,6;2936,6;40000;0;0;2936,6;;;;;;;;;
;;;426;17:00:00;52;5,060883;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;427;18:00:00;1342,2;4,290627;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;428;19:00:00;3055,45;3,7595391;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;429;20:00:00;3419,45;3,155242;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;430;21:00:00;3547,15;3,0625854;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;431;22:00:00;625,45;2,7009969;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;432;23:00:00;815,45;2,2120163;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Viernes;433;0:00:00;654,6;2,2905755;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;434;1:00:00;52;2,3518586;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;435;2:00:00;52;2,3993204;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;436;3:00:00;52;2,021657;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;437;4:00:00;52;1,6152787;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;438;5:00:00;52;1,5515554;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;439;6:00:00;1894,41;1,5079997;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;440;7:00:00;2590,45;1,3984638;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;441;8:00:00;1620,45;1,934069;0;50,64;121,1;518,5536;303,84;303,84;0;20427;1316,61;0;0;;;;;;;;;
;;;442;9:00:00;113,56;3,414541;0;317,75;480,87;3253,76;1906,5;1906,5;1792,94;22220;0;0;0;;;;;;;;;
;;;443;10:00:00;52;3,8076344;0;562,49;478,12;5759,8976;3374,94;3374,94;3322,94;25543;0;0;0;;;;;;;;;
;;;444;11:00:00;52;5,1975985;0;327,8;283,92;3356,672;1966,8;1966,8;1914,8;27457;0;0;0;;;;;;;;;
;;;445;12:00:00;52;5,4806447;0;615,22;239,47;6299,8528;3691,32;3691,32;3639,32;31097;0;0;0;;;;;;;;;
;;;446;13:00:00;2788;5,3882866;0;935,16;349,13;9576,0384;5610,96;5610,96;2822,96;33920;0;0;0;;;;;;;;;
;;;447;14:00:00;362;4,9769416;0;865,11;552,78;8858,7264;5190,66;5190,66;4828,66;38748;0;0;3577,06;;;;;;;;;
;;;448;15:00:00;492;5,2775373;0;679,53;638,67;6958,3872;4077,18;4077,18;3585,18;40000;0;0;3585,18;;;;;;;;;
;;;449;16:00:00;52;5,3659434;0;400,83;526,09;4104,4992;2404,98;2404,98;2352,98;40000;0;0;2352,98;;;;;;;;;
;;;450;17:00:00;52;5,5331473;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;451;18:00:00;1342,2;6,415544;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;452;19:00:00;3055,45;7,3739305;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;453;20:00:00;3419,45;7,5199347;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;454;21:00:00;3547,15;7,8364477;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;455;22:00:00;625,45;7,575649;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;456;23:00:00;815,45;7,869174;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Sábado;457;0:00:00;757,2;6,914647;0;0;0;0;0;0;0;26386;757,2;0;0;;;;;;;;;
;;;458;1:00:00;362;5,7781696;0;0;0;0;0;0;0;26024;362;0;0;;;;;;;;;
;;;459;2:00:00;52;4,739704;0;0;0;0;0;0;0;25972;52;0;0;;;;;;;;;
;;;460;3:00:00;52;3,7233257;0;0;0;0;0;0;0;25920;52;0;0;;;;;;;;;
;;;461;4:00:00;52;3,0710456;0;0;0;0;0;0;0;25868;52;0;0;;;;;;;;;
;;;462;5:00:00;52;2,7560074;0;0;0;0;0;0;0;25816;52;0;0;;;;;;;;;
